Source (A)	Source (B)	Source (C)	posemo	negemo
638217759826963970	positive	Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit	4.35	0.00
638248645104640000	positive	ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION	4.76	0.00
638299266876854020	neutral	#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame  #tunein  5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb	4.35	0.00
638326005803842940	positive	Not Available	0.00	0.00
638334082850488060	positive	Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson)	4.55	4.55
638342682117570050	positive	Today is the 28th Anniversary of Michael Jackson releasing the "Bad" album, what's your favorite song from it?	5.56	5.56
638362973837331970	positive	Not Available	0.00	0.00
638373842138722050	positive	The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness	0.00	0.00
638376878168903040	positive	@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun.	3.57	0.00
638423648492220030	neutral	@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...	0.00	0.00
638425960111545980	neutral	@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...	0.00	0.00
638433904131640960	neutral	Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace.  https://t.co/bKrxnEou0l	4.17	4.17
638491441988304000	positive	#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW	0.00	4.35
638502229779938940	neutral	Not Available	0.00	0.00
638528170455511040	positive	I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night.   Life is awesome.	4.55	0.00
638576849354813060	neutral	mom: "I say 23 because your birthday is on the 23rd" me: no you say it because mj  mom: michael jackson? me: did he play ball too? mom: oh.	3.45	0.00
638594008437104000	positive	Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy	0.00	0.00
638667363353668990	neutral	Michael Jackson may have composed the music in Sonic 3. Someone please confirm this for me before I die this is so important	8.70	0.00
638759499260674050	neutral	Not Available	0.00	0.00
638818244434923010	positive	@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson.  C"mon, spill the beans	5.88	0.00
638850460653362940	negative	I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean	0.00	3.70
638879186698919040	positive	@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar.	8.00	0.00
638995368026467970	positive	@HeartNorthWest you can't beat a bit off Michael Jackson on a Wednesday morning #time tunnel	0.00	0.00
639027930790797060	neutral	Not Available	0.00	0.00
639068719524633980	positive	#TodayInMusicHistory Michael Jackson earned his 12th and last solo #1 during his lifetime with the song "You Are... http://t.co/Nlw0yhsCSk	0.00	0.00
639089888684579970	positive	Last Saturday would have been his 58th birthday. Mussic from Michael Jackson coming up in just a few minutes.....	0.00	0.00
639090903169142020	positive	Let us dream of tomorrow where we can truly love from thsoul,&amp; know love as the ultimate truth at the heart of all creation Michael Jackson	18.52	0.00
639105721896865020	positive	Not Available	0.00	0.00
639131453649985020	neutral	It is too hot. I was waking around campus w my big black umbrella just 2 shade myself from the sun. I think I'm Michael Jackson or something	0.00	0.00
639216221825671040	positive	I JUST CAN'T STOP LOVING YOU by MICHAEL JACKSON AND SIEDAH GARRETT was no.3 in the UK charts on 2 September 1987	4.35	0.00
639297029189987970	positive	s/o to 7th grade year when being michael jackson still lost to a bumblebee during the halloween costume contest http://t.co/bS2QbzrPjG	0.00	4.00
639372766198779010	positive	Jay Z apparently joined Instagram on Saturday and posted a photo montage of himself with Michael Jackson, who would have been 57 years old.	0.00	0.00
639395430472790020	positive	Remembering Michael Jackson Thursday, September 3rd Starting at 22:00  Party like a king in memory of the King of... http://t.co/yyhSrlNhxt	4.00	0.00
639404422204813060	positive	Mojo just did a mini-mix of classic Michael Jackson that just made my Thursday better.	6.25	0.00
639404791827963010	neutral	83 Minutes, major new book on the amazing life &amp; tragic death of Michael Jackson released on Sept 10. @MJJCommunity @MJJLegion @mjsunifc	4.55	4.55
639432600885586940	neutral	#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.	0.00	5.56
639500177116691970	negative	Not Available	0.00	0.00
639520546552684030	neutral	On this day (September 03, 2009), Michael Jackson was buried at his final resting place - The... http://t.co/CgYtsWrr7z	0.00	0.00
639534483352472960	positive	#Unbreakable will mark the 1st time Janet Jackson has opened up about her brother Michael Jackson http://t.co/id0GdjDg4p	0.00	0.00
639644271847545980	positive	Fandom Infiltration - As you may or may not know, I accompanied my mawm to the Michael Jackson One Cirque... http://t.co/l1XAIbpI7i	0.00	0.00
639671487310360060	positive	@candycaneliam @MidnightMiseryx @fandombeliefs and may i remind you that 4/5D look up to Michael Jackson lol	5.88	0.00
639785510177632000	positive	Michael Jackson, a place with no name. Rare USA sold out: $129.99End Date: Thursday Sep-10-201... http://t.co/aOAwUrXS02 #michaeljackson	0.00	0.00
639904246582877950	positive	Not Available	0.00	0.00
639956939066208000	neutral	Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi	5.56	0.00
640033330285575940	negative	@MissSonalChadha Take a look at @RajivMessage's Tweet: https://t.co/Xl0moCLGjZ  Hindus should not use RIP.  U can use it for Michael Jackson	0.00	0.00
640047532370996990	positive	Your #Saturday #Satisfaction with Michael Jackson - You are not alone (radio edit) http://t.co/CvHFOMO1tN #zaterdag #samedi	5.26	5.26
640146715182435970	positive	Its #FreddieMercury's 69th Birthday! Many of you may have seen this, here's a rare pic of him with Michael Jackson! http://t.co/RY5GliAqjq	0.00	0.00
640176482954951940	positive	so everyone was so happy bc michael jackson came and he sat down and started singing so we all gathered around and listened	4.35	0.00
640177161035512960	positive	Not Available	0.00	0.00
640179617660178050	positive	Portland, make sure and catch @mattwertz this Wednesday at 8 at Alberta Rose Theater. I'm hoping for at least 4 Michael Jackson covers.	8.70	0.00
640215120191164030	positive	I'm trying to decide what I want my son to be 4 Halloween 1.Donald Trump  2.Barack Obama or 3rd Michael Jackson he could pull off all three	0.00	0.00
640294027594722940	positive	Not Available	0.00	0.00
640313576633166980	neutral	Not Available	0.00	0.00
640360829062221060	positive	Not Available	0.00	0.00
640390484704136960	positive	@CarbieWarbie TY4 follow. Happy Sunday! ET the Extraterrestrial (Storybook) as told by Michael Jackson (Movie Edit) https://t.co/Kfa3Y3yFUX	4.76	0.00
640536320402660990	neutral	The sound of Sunday with Michael Jackson - Blood On The Dancefloor http://t.co/CvHFOMO1tN #webradio #internetradio	0.00	0.00
640545706525203970	neutral	OFF THE WALL by MICHAEL JACKSON was no.12 in the UK album charts on 6 September 1980	0.00	0.00
640548889410539010	positive	will be resuming his "Artist of the Week" selections on Tuesday. His featured artist at that time will be Michael Jackson.	0.00	0.00
640553062290059010	positive	Sunday brunch with a Bloody Mary is the best! Michael Jackson is on the radio too! #drinklocal #dolocal #music http://t.co/S7dFzns799	4.17	0.00
640704989363462020	positive	I get my 1st slumber party with Helen Byers Moore since our back in the day moments with our Michael Jackson... http://t.co/nkmXUYxheD	3.85	0.00
640745408810119040	positive	On 6 September 2001, Michael Jackson made a surprise appearance at the mtv vma where she danced with * Nsync. http://t.co/EwlitvXQML	4.17	0.00
640748606958382980	positive	They're showing the Motown 25th on PBS. Michael Jackson at the height of his fame. Mind blowing moves. #MoonwalkDebut	0.00	0.00
640755399042449020	neutral	3rd: The Weeknd sounds just like Michael Jackson	0.00	0.00
640767846121910020	neutral	#LQLDailyQuestion Which actress died aged 62 on the same day as Michael Jackson, June 25th 2009?	0.00	0.00
640774662033533950	neutral	@MirandaCosgrove @CaylenWeather michael jackson or harry styles? the world may never know	0.00	0.00
640876146003827970	neutral	Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) https://t.co/WwQ1KQnRDz via @YouTube	4.76	0.00
640893263134588030	negative	Not Available	0.00	0.00
640961765208136960	positive	@jermjackson5 omg your in London on September 12th I'm going to London for the Michael Jackson kingvention that day!!!!	0.00	0.00
640980516871773950	positive	Rock Calendar 9-7-01: Performing on stage for first time in 11 years, Michael Jackson is reunited with Jackson 5 at The 30th Anniv. Celeb.	0.00	0.00
641016681234627970	positive	when i was in 4th grade my sister convinced me that michael jackson was the guy in the barney suit all those years	0.00	0.00
641028806795508990	positive	@8dreamerMJJ thank god i was so nervous i didn't how Michael Jackson hardcore fans may feel about @chrisbrown taking on such a big project	4.17	4.17
641104014172524030	neutral	I spent all weekend in the sun, and I'm still paler than the ghost of Michael Jackson. #whitepeopleproblems	0.00	0.00
641178206863784960	neutral	Not Available	0.00	0.00
641188392407928060	neutral	Yg puts Ikon as 2nd bigbang, and BI as GD = the next michael jackson is justin bieber. @ygent_official are you patrick star?	0.00	0.00
641221720326688000	positive	@JusReign my favourite Michael Jackson is the one with the tingalingalingalingashingshongbhungbhaaanng tap tap moonwalk on the sun	5.88	0.00
641252626802285950	neutral	Not Available	0.00	0.00
641325272181177980	neutral	Eve has 2 different styles; Jared Leto or Michael Jackson... What will it be tomorrow ? Stay tuned to find out	0.00	0.00
641338433663687940	neutral	For ICC i cud jst sing along the 1st time i heard it But Dumb Dumb  I jst remember alotta highnotes Dumb x6 and sumthing michael jackson	0.00	11.11
641343551620537980	negative	R8 has FINALLY dropped, Kanye is in his second term of presidency, Michael Jackson moonwalked on the sun, fuckboys gained some respect for w	4.17	0.00
641359104229805950	negative	Michael Jackson, if he only believed his own words, he may not of transformed himself into the ghoul http://t.co/UaVtsk7VMg	0.00	0.00
641414078519463040	positive	Not Available	0.00	0.00
641463488037031040	positive	Monarchy expert D. Michael Jackson will chat about Queen Elizabeth's long reign on @NewsTalk770 tomorrow at 12:30pm.	0.00	0.00
620657248138861950	positive	If Barack or Michelle Obama walk the runway during Style tonight or tomorrow life will be complete. That is all.	0.00	0.00
620726887162190980	positive	Michelle Obama seems to have really enjoyed her theater going this weekend. She saw Kinky Boots on Saturday, and The King and I on Sunday.	4.00	0.00
620738772179618940	positive	Michelle Obama set the bar exceptionally high 4 @FLOTUS What kind of 1st lady would @TonetteWalker be WI wouldn't know, we've never met her	0.00	0.00
621027317045985020	positive	My mom heard someone say Michelle Obama on TV and she started singing 5th Harmony... Help	6.25	0.00
621055603524284030	negative	Don't yall see what they doin they distracting us with today's kids will ever know because on July 14 Barack and Michelle obama got together	0.00	0.00
621445240298168060	neutral	See Tika Sumpter as Michelle Obama in 'Southside with You' photo: Annie MartinLOS ANGELES, July 15 (UP... http://t.co/Tspa5x2n6e #TSCEnt	0.00	0.00
621553727334428030	negative	Retweet if you think Michelle Obama is an awful 1st Lady... http://t.co/mYpmCoLfE8	0.00	6.25
621816893649874050	neutral	A: I'd gladly have somebody else pay you next Tuesday for a vegan burger today Q: What would Michelle Obama say if she were Wimpy @fredwimpy	3.85	3.85
622066414308953980	neutral	SMH Mayor in Washington St. Makes Racist Remarks about PBO &amp; 1st Lady Michelle Obama; Refuses to Resign http://t.co/sRmwlqiBYb via @dailykos	0.00	8.00
622070904265265020	positive	Michelle Obama: US 1st Lady teams up with Wale to promote higher education http://t.co/QDY3iC5TjF	0.00	0.00
622211557213256960	neutral	Harvard educated First Lady Michelle Obama reminded attendees of a naturalization ceremony Wednesday that the... http://t.co/LeG5gtWs1C	0.00	0.00
622396313456541060	negative	The best way to find Malaysia Airlines Flight MH370 may be with Michelle Obama's arms.	6.67	0.00
622500637259857020	neutral	Who would make a better 1st lady of the US? RETWEET for Melania Trump ignore for michelle obama @realDonaldTrump http://t.co/otwIgPJC1Q	4.17	4.17
622865582702989060	neutral	dear everyone   it was funny the 1st time you called me Michelle Obama  9179027th time  not so much	11.11	0.00
623333661035752960	positive	I frick frackin love shows with Madison so much tomorrow is going to be so fun wowowowowoowowowwowowowoow I'm not ready Michelle Obama	18.18	0.00
623457980931902980	negative	Many may not know that Michelle Obama graduated from Harvard. What did she learn there? She had to surrender her law license for LYING.	0.00	4.17
623589519019900030	neutral	First lady Michelle Obama gave a passionate keynote address at the first White House Tribal Youth Gathering in Washington on Thursday.	4.76	0.00
623617946603154940	neutral	Wale is going to perform at the White House on Thursday as part of Michelle Obama's "Reach Higher" education initiative	0.00	0.00
623661305367374980	neutral	Who would you rather have as a 5th Member: Michelle Obama, an Ewok or The Sneezing Panda. #iHeart5SOS	0.00	0.00
623737675103645060	neutral	E! News Terrence Jenkins w/moderate keynote with First Lady Michelle Obama on July 23rd, 8am. For the 2015 Beating The Odds Summit.	0.00	0.00
623833473355100030	neutral	I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for! @amyschumer	0.00	0.00
623959800716636030	positive	2 Thomas Edison HS graduates will join 1st Lady Michelle Obama's Beating the Odds Summit bringing together 2015 college bound graduates	0.00	0.00
624012076281908990	neutral	The only time Michelle Obama would lower the flags on her property is if they were blocking the sun while she was sunbathing. #Chattanooga	0.00	4.17
624022734792716030	positive	@Literarygrrrl Michelle Obama may be the first lady, but these shoes will make you a lady in the streets (and a freak in the bed).	0.00	4.00
624029200371073020	positive	Going to First Lady Michelle Obama's Beating the Odds Summit tomorrow! #excited by cameyyboo #WhiteHouse #USA http://t.co/1Wu5R5oXD0	4.17	0.00
624122694691196030	neutral	Not Available	0.00	0.00
624169794883858050	neutral	2 MN college bound teens will be at the White House today with 1st Lady Michelle Obama. How they scored this life changing invite at 6 @kstp	0.00	0.00
624246879493206020	positive	#US 1st Lady Michelle Obama speaking at the 2015 Beating the Odds Summit to over 130 college-bound students at the pentagon office. &gt;&gt;	0.00	0.00
624602875654582020	neutral	Crazy Monday: Michelle Obama juggles her roles with poise and grace http://t.co/zdlPQQOsKv	6.25	6.25
624746080446599040	neutral	Yesterday was National Hot Dog Day . . . Or as Michelle Obama called it:  Thursday.	0.00	0.00
624747559102320000	positive	Also the first to graduate college, I agree. Michelle Obama: Making school cool is key to success. http://t.co/loJjjDwEXB via @washtimes	12.50	0.00
625001787460819970	positive	@CollinceBey I admire Michelle Obama more. Cant imagine how she survived being in a remote African village for 1st time! She deserved WH!	4.35	0.00
625046763297197950	positive	Is Michelle Obama and the sytycd crew dancing at the White House today cuz I may have to join	0.00	0.00
625191974753188990	positive	The 1st Lady Michelle Obama was in the house! What an inspirational moment! #ZenoFamily https://t.co/SLJ4kVpcHO	5.26	0.00
625325655161351940	positive	First Lady Michelle Obama kicked off the Special Olympics World Games in Los Angeles on Saturday, welcom... http://t.co/EGPFc8l5vy #news	8.70	0.00
625394044512956030	positive	In May I sent a Children at Nature Play sign to First Lady Michelle Obama. Today, I received a thank you note... http://t.co/RzKpcRd6CA	7.41	0.00
625450575140899970	neutral	Michelle Obama complains about not being paid, Watch Laura Bush set her straight - http://t.co/Fe0z2RxYC5, Mooch!	0.00	10.53
625666682263052030	positive	Michelle Obama to 1st gen college students on education: "This should be the cool thing to do in life." http://t.co/IAvm1PHADn	4.17	0.00
625765855142521980	neutral	Have you seen the first lady? Michelle Obama may still be in the Coachella Valley @TDSColinAtagi http://t.co/fk04VotSVB via @mydesert	0.00	0.00
625795194819072000	negative	@marklevinshow Exactly! Now that the US is a Constitution-less dictatorship Michelle Obama may never leave the White House.	0.00	0.00
625992870026178050	positive	Michelle Obama has a dance off with Ellen DeGeneres to celebrate the 5th anniversary of the First Lady's "Let's... http://t.co/offpskaHAY	0.00	0.00
626037203047575040	neutral	Not Available	0.00	0.00
626270343397830020	positive	Not Available	0.00	0.00
626528275741838980	positive	Not Available	0.00	0.00
626942343363608060	neutral	If you think you've seen everything? You heard it here 1st. Meet 2016 Democratic Presidential Nominee, Michelle Obama http://t.co/wbgtIArfsD	0.00	0.00
626959574986173950	neutral	I'm more concerned about Barack getting his 3rd term wish through Michelle Obama than I am uncle Joe. Just saying. https://t.co/8Gu7lu7qZq	0.00	0.00
627603448981257980	positive	@Anomaly100 @marpeesh @HMiglino @TeaPainUSA No wonder you think Michelle Obama may be attractive?!?	0.00	0.00
627613043703181060	positive	Caller:President Obama said-'If there was no restriction on me having a 3rd term I would win it.' Was that a precursor for Michelle Obama?	3.85	0.00
628004511420928000	neutral	S/O to the people going back to school tomorrow and have to eat Michelle Obama's nutritious school lunches. #mmm	0.00	0.00
628324875627810050	positive	Not Available	0.00	0.00
628392836715675010	neutral	Today: a 4th grader was saying how she wrote to Michelle Obama &amp; my 5 year old responded that he wrote to the bears of Yosemite. #andhedid	0.00	0.00
628549451188162050	neutral	Talk about running the world.&amp;#160; Michelle Obama sat down with rapper Wale on Friday to answer questions and promote her Reach Higher	0.00	0.00
628572003939646980	negative	@thehill 50 Most Beautiful.  Michelle Obama #9? Seriously? She could make several top 50 lists but c'mon, really? Her mother even disagrees.	4.35	8.70
628947344793309060	negative	Study: Michelle Obama's anti-obesity campaign may actually make people gain weight http://t.co/UP2G3On4j6	0.00	0.00
629128080619998980	positive	so I just found out today that I might get to see Michelle Obama on Friday	0.00	0.00
629135660478107010	positive	i am going to try to meet Michelle Obama on friday	0.00	0.00
629506604103171970	positive	Not Available	0.00	0.00
629826755851848960	neutral	Not Available	0.00	0.00
630095382018662020	neutral	Boy, did Michelle Obama look miserable dehelicoptering in Martha's Vineyard. What's the 1st missus got to gripe about? Not feelin' the love?	4.55	4.55
630390658721820030	positive	Happy 50th Birthday Michelle Obama! We're winding down our Friday with our favorite FLOTUS quotes! # http://t.co/gR9FhqKJEH	10.00	0.00
630531805246979970	negative	*finds out we need a shot for 6th &amp; 12th grade* Kelsey: "It was Michelle Obama wasn't it. She took away our food &amp; now she's stabbing us."	0.00	0.00
630807040634579970	neutral	@spareribbetje Walrus, die word bereden door Michelle Obama in de opkomende zon met tekst "I wish i was that walrus, cuz the sun is pretty"	4.00	0.00
630820269850930940	neutral	@father you still got the Michelle Obama shirt ?  https://t.co/tYtCyltfD6	0.00	0.00
631240761619549950	negative	Kim Kardashian may have no talent, but she's a business woman. Michelle Obama dont got talent. She was just that wife on the come up	8.00	0.00
631533223529458940	neutral	Not Available	0.00	0.00
631758201663294980	negative	Wouldn't surprise me if Michelle Obama was the brain child behind ISIS in the 1st place. @andyjonesKipper @Its_jihadist	5.26	0.00
632073060791808000	positive	The Michelle Obama Look Book http://t.co/SaRH5Zlzge via @TheCut | The 1st Lady. All dressed up , 4ever on the go &amp; on the taxpayer's $$$	0.00	0.00
632442122822663940	positive	Laura W. Bush Michelle Obama Psalm 72:15 Long may he live, receiving gold from Arabia,  prayed for without cease,... http://t.co/ZqPI9BiCm7	0.00	0.00
632960600923090050	positive	Michelle Obama, Barack Obama: Honor Colored Girls on February 28th (the last day of black history mon... https://t.co/XiiXsO0b1K via @Change	4.17	0.00
633071290581171970	positive	Jan runs into Michelle Obama on her way to a charity event. Storm clouds begin to brew over the women as they battle for psychic control.	3.85	3.85
633206249300098940	positive	Sum1'll say he saw PMB wt Michelle Obama @ a hotel kissin n d nxt 2nd ur readn it online alrdy! No e4ts 2 find out d authenticity of d story	3.33	0.00
633475751887638020	neutral	@garza_tex @foxandfriends Michelle Obama stated she was embarrassed of America. Figured she'd be 1st 2 give up citizenship. Bow 2 that.	0.00	4.55
633748998436728060	positive	Ugh! Michelle Obama was selected the Best Dressed Woman by The Sunday Times (Time). http://t.co/0bQ4SnQfxH https://t.co/U9cmWaOoFR	4.00	4.00
633780404777041020	positive	First Lady Michelle Obama is a elegant and classy 1st Lady who presence touch the heart of us all #LoveMyPresident&amp;FirstLady @InsideEdition	4.35	0.00
634133689216035970	neutral	@Adorable_Dime you may be right. You also forgot about Michelle Obama and Rihanna on the cover..all granted interviews	5.00	0.00
634185712884183040	positive	AMERICA! my friends @TheStruts are playing the Jimmy Kimmel show tomorrow night with Michelle Obama! couldn't be more proud!	10.53	0.00
634232848522850050	neutral	@LeoKikiLady89 chile did you read about Michelle Obama this lady is the 1st wife educated with a ton of degrees and said she wishes she was	0.00	0.00
634311131797041020	negative	for the first time in my adult lifetime I'm really proud of my country- MOST UN-AMERICAN STATEMENT BY DISGRACED 1ST LADY MICHELLE OBAMA	4.17	4.17
634570385128710020	negative	@Matthops82 @nightowl197395 @sallykohn  Plus, it's Michelle Obama trying to pick what foods we can eat.  I may have read that wrong, though.	0.00	4.55
634841538959405060	neutral	During Thursday night's edition of Jimmy Kimmel Live, the ABC comedian helped first lady Michelle Obama make a... http://t.co/2r5UCGnTCS	4.17	0.00
635097205272013950	negative	Danny Drinkwater is just a plant from Michelle Obama to force healthy dietary choices on Saturday morning soccer watchers. #tcot	5.00	0.00
635098614558289020	negative	United wanting to sign Neymar is like me wanting to marry Michelle Obama.. although the difference is I may have a chance	0.00	0.00
635385923363057020	negative	Faux FLOTUS Michelle Obama recently floated the Sheerly repugnant suggestion that she may run for POTUS.	0.00	0.00
635530316438896000	neutral	I was challenged to post three things about myself that you may not know... 1. Michelle Obama WAS NOT the first... http://t.co/bmb3MWZVmP	3.85	0.00
635846449561927040	negative	How r the Christian "Right" going 2 accept this from 1st lady when Flotus Michelle Obama got slammed 4 her bare arms http://t.co/psat2Dgitx	3.70	0.00
636346940272323970	neutral	Hey tomorrow's wing Wednesday! Unless they changed it... and it's like Tofu Wednesday... I mean you know Michelle Obama... -my dad	0.00	0.00
636406126972674050	positive	Michelle Obama is one of the most active 1st ladies since Eleanor Roosevelt tbh	7.14	0.00
637360313499820030	neutral	MICHELLE OBAMA Look- A-Like - "People always tell me I look like U.S.A 1st Lady Michelle Obama. I do not see the... http://t.co/qyszgYaW0c	0.00	0.00
637418168508546940	negative	Let's put a stripper in the White House. And RWNJs say Michelle Obama has no class.  https://t.co/asaJnLPlPr	0.00	0.00
637626663086497020	neutral	@LyndaG1963 @9975Ts @GrimMWB @Jcpcond :If she's like Michelle Obama that may not be true?	7.14	0.00
638183273630449020	positive	Not Available	0.00	0.00
638825206325248000	neutral	If Kanye really did run for president Michelle Obama would still be the baddest 1st lady ever	0.00	0.00
639104253886246020	neutral	Food giants call a truce w/ Michelle Obama, @politico reports http://t.co/VxAGF6QUX6 (Tho some wld say the 1st Lady raised a white flag)	0.00	0.00
639750711107038980	positive	Not Available	0.00	0.00
639858973391330940	neutral	I dm'd michelle Obama. I'm going to erase it tomorrow if she doesn't respond	0.00	0.00
640569576246390020	negative	Not Available	0.00	0.00
640992207995072000	negative	Michelle Obama to jump in race for president? http://t.co/C6x2A7APvU via @worldnetdaily# A 3rd term 4 the communist, islamists in the WH, NO	0.00	0.00
641001921957003010	neutral	Not Available	0.00	0.00
641165121734073980	neutral	Michelle Obama's waiting in the Master Bedroom Chelsea Clinton's waiting in the Lincoln Bedroom WHICH ROOM 1st @Sadieisonfire @REALFITFINLAY	0.00	0.00
641522983811591940	positive	'The View' returns with new, hopefully controversial hosts: Guest Michelle Obama (3rd L), wife of presumptive ... http://t.co/HHP4rsf6xj	4.55	0.00
633229749804994050	positive	I may have a treat for you guys tonight so you can play some Minecraft with me ;) #TheDream	10.53	0.00
633416585164656000	positive	Looking forward to learning about Skype, Minecraft, Sway &amp; more Thurs/Fri at TnT.  Still room for more! http://t.co/2Jp8u7xENz #psd70	0.00	0.00
633538664459431040	positive	Doing a mock build of Ashoka build now and I think I might build her in Minecraft tomorrow.  If so I'll definitely stream it #disneyinfinity	4.00	4.00
633562589956467970	positive	Had fun streaming with friends. Hopefully I'll get back to Minecraft tomorrow! Goodnight all	14.29	0.00
633702779291344000	positive	Calling all Minecraft fans, this Saturday August 22, it's Minecraft survival night. Come show us your building... http://t.co/WW5d2CTrWg	0.00	0.00
633817258700242050	positive	@bcfcAnt my birthday is Sunday August 23 I can't wait I hope I get ps4 with Minecraft and bo2 and advanced warfare and gta 5	4.00	4.00
633817867687960060	positive	Not Available	0.00	0.00
633852064439926020	positive	Of course mom can make a Minecraft cake. Happy 6th to my little man. https://t.co/1HFAUkeNYF	5.26	0.00
634174882495000060	positive	Early upload of Minecraft, this week, since I'm going to be away from the computer essentially all day tomorrow!	0.00	0.00
634315111155506940	positive	@callahan_kristy check out my #YouTube  Channel new video soon about Minecraft I think you may like it	0.00	0.00
634348208630692990	positive	LIMITED AVAILABILITY! REGISTER TODAY!! "Minecraft may have started out as just a game, but it has become much more... http://t.co/dUAN5oK1F8	0.00	0.00
634419216410640000	positive	By @AmiriKing: My 7 y/o just back talked me.  Tomorrow while she's at school I'm logging into Minecraft and destroying her entire village.	0.00	4.17
634439076221857020	neutral	A good read about what's happening to Minecraft in schools... http://t.co/qjjB5HfnAw	6.67	0.00
634451260880649980	positive	Playing #Diversity2 on Minecraft with @flipTflop and friends. #playing #it #for #my #4th #time	14.29	0.00
634482190835940990	positive	@mrsdrakepve @anniedewey So my 3rd grader tells me you're interested in Minecraft lessons. He would love to show you the ropes!	9.52	0.00
634567397232504060	positive	Gym time :) Friday stream will be back to Minecraft! See you then!	7.69	0.00
634676348888456960	neutral	@taisling Prendeville was on about violent videogames on Monday, even Minecraft is bad apparently... How long you about for?	0.00	10.53
